Name,Gender,Party,Constituency,State,Educational Qualification,Education Details,Age,Start of Term,End of Term,Number of Term,Attendance,Total Expenditure (Crores) (LS 16),Total Works (LS 16),  LS 17 debates,  LS 16 debates,  LS 17 special mention,  LS 16 special mention,  LS 17 question,  LS 16 question,  LS 17 supplementary question,  LS 16 supplementary question,  LS 17 government bill,  LS 16 government bill,  LS 17 private member bill,  LS 16 private member bill,  LS 17 private member resolution,  LS 16 private member resolution,  LS 17 commitee membership,  LS 16 commitee membership
"A. Raja, Shri ",Male,Dravida Munnetra Kazhagam(DMK),Nilgiris,#N/A,Post Graduate,"B.Sc., B.L., M.L.; Educated at Government Arts College, Musiri, Distt. Trichy; Government Law College, Madurai and Government Law College, Trichy (Tamil Nadu) ",57,23-May-19,In office,Fifth Term,91%,#N/A,#N/A,30,0,3,0,107,0,1,0,13,0,0,0,0,0,3,0
"Abbaiah, Shri Narayana Swamy",Male,Bharatiya Janata Party(BJP),Chitradurga,#N/A,Graduate,"B.A. Educated at Government Arts College, Bengaluru",63,23-May-19,In office,First Term,64%,#N/A,#N/A,4,0,3,0,27,0,0,0,0,0,0,0,0,0,2,0
"Abdullah, Dr. Farooq",Male,Jammu and Kashmir National Conference(J&KNC),Srinagar,Jammu & Kashmir,Graduate,"M.B.B.S.; Educated at S.M.S. Medical College, Jaipur, Rajasthan",82,23-May-19,In office,Fourth Term,34%,0,126,6,7,3,0,11,13,0,0,0,2,0,0,0,0,1,0
"Adhikari,  Shri Deepak (Dev)",Male,All India Trinamool Congress(AITC),Ghatal,West Bengal,Graduate,Computer Engineer,37,23-May-19,In office,Second Term,14%,0,442,1,2,0,2,28,3,0,0,0,0,0,0,0,0,1,3
"Adhikari, Shri Dibyendu",Male,All India Trinamool Congress(AITC),Tamluk,West Bengal,Graduate,"B.A. (Hons.) 1998, Contai Pravat Kumar College, Vidyasagar University",43,23-May-19,In office,Second Term,49%,4.68,606,1,2,1,0,76,119,0,0,0,0,0,0,0,0,1,0
"Adhikari,  Shri Sisir Ku",#N/A,All India Trinamool Congress(AITC),Kanthi,West Bengal,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,9.45,49,5,0,2,0,80,248,0,0,1,0,0,0,0,0,1,5
Adv. A. M. Ariff,Male,Communist Party of India (Marxist)(CPI(M)),Alappuzha,Kerala,Professional Graduate,"BSc. (Zoology), LLB educated at S.N. College, Cherthala, and Kerala Law Academy, Thiruvananthapuram",56,23-May-19,In office,First Term,96%,0,347,59,0,14,0,67,0,0,0,9,0,0,0,0,0,1,0
"Agrawal,  Shri Rajend",Male,Bharatiya Janata Party(BJP),Meerut,Uttar Pradesh,Post Graduate,"M.Sc. (Physics); Educated at M.M. (P.G.) College, Modi Nagar, Ghaziabad",68,23-May-19,In office,Third Term,99%,0,31,54,185,30,112,84,299,1,1,2,6,1,8,1,0,2,11
"Ahluwalia,  Shri S.S",Male,Bharatiya Janata Party(BJP),Bardhaman-Durgapur,West Bengal,Professional Graduate,"B.Sc., LL.B. Educated at St. Joseph School, Asansol, Bidhan Chandra College, Burdwan University and University College of Law, Calcutta University, West Bengal",69,23-May-19,In office,Second Term,88%,0,119,6,132,2,11,0,0,0,0,2,14,0,0,0,2,2,5
"Ahmed, Smt. Sajd",Female,All India Trinamool Congress(AITC),Uluberia,West Bengal,Graduate,B.A. (H); University of Calcutta,58,23-May-19,In office,Second Term,64%,0.03,123,5,0,3,0,50,18,2,0,0,0,0,0,0,0,1,2
